score_id,user_id,score,week_start_date
1,249,38.36,2026-02-16
2,249,44.45,2026-02-23
3,249,22.86,2026-03-02
4,249,93.67,2026-03-09
5,249,76.0,2026-03-16
6,249,70.75,2026-03-23
7,249,28.31,2026-03-30
8,249,25.53,2026-04-06
9,250,89.81,2026-02-16
10,250,55.24,2026-02-23
11,250,60.41,2026-03-02
12,250,61.14,2026-03-09
13,250,25.36,2026-03-16
14,250,54.0,2026-03-23
15,250,99.11,2026-03-30
16,250,42.31,2026-04-06
17,251,40.35,2026-02-16
18,251,73.6,2026-02-23
19,251,48.76,2026-03-02
20,251,40.95,2026-03-09
21,251,24.28,2026-03-16
22,251,62.54,2026-03-23
23,251,85.56,2026-03-30
24,251,90.32,2026-04-06
25,252,75.07,2026-02-16
26,252,58.01,2026-02-23
27,252,69.56,2026-03-02
28,252,56.03,2026-03-09
29,252,82.74,2026-03-16
30,252,28.57,2026-03-23
31,252,71.34,2026-03-30
32,252,72.07,2026-04-06
33,253,92.83,2026-02-16
34,253,78.08,2026-02-23
35,253,45.64,2026-03-02
36,253,71.49,2026-03-09
37,253,29.87,2026-03-16
38,253,62.93,2026-03-23
39,253,96.83,2026-03-30
40,253,61.0,2026-04-06
41,254,40.44,2026-02-16
42,254,63.11,2026-02-23
43,254,50.88,2026-03-02
44,254,69.77,2026-03-09
45,254,66.34,2026-03-16
46,254,99.05,2026-03-23
47,254,62.22,2026-03-30
48,254,82.11,2026-04-06
49,255,90.78,2026-02-16
50,255,81.15,2026-02-23
51,255,67.91,2026-03-02
52,255,44.49,2026-03-09
53,255,98.82,2026-03-16
54,255,58.5,2026-03-23
55,255,76.25,2026-03-30
56,255,87.0,2026-04-06
57,256,28.37,2026-02-16
58,256,87.18,2026-02-23
59,256,74.48,2026-03-02
60,256,40.3,2026-03-09
61,256,38.6,2026-03-16
62,256,84.82,2026-03-23
63,256,88.95,2026-03-30
64,256,98.92,2026-04-06
65,257,63.24,2026-02-16
66,257,97.08,2026-02-23
67,257,76.84,2026-03-02
68,257,34.0,2026-03-09
69,257,30.58,2026-03-16
70,257,36.3,2026-03-23
71,257,64.54,2026-03-30
72,257,38.11,2026-04-06
73,258,55.96,2026-02-16
74,258,61.72,2026-02-23
75,258,39.06,2026-03-02
76,258,83.39,2026-03-09
77,258,32.08,2026-03-16
78,258,29.02,2026-03-23
79,258,71.69,2026-03-30
80,258,63.98,2026-04-06
81,259,22.41,2026-02-16
82,259,93.6,2026-02-23
83,259,32.57,2026-03-02
84,259,90.53,2026-03-09
85,259,36.81,2026-03-16
86,259,33.79,2026-03-23
87,259,89.35,2026-03-30
88,259,93.93,2026-04-06
89,260,76.94,2026-02-16
90,260,64.56,2026-02-23
91,260,36.97,2026-03-02
92,260,31.66,2026-03-09
93,260,23.58,2026-03-16
94,260,29.36,2026-03-23
95,260,34.81,2026-03-30
96,260,34.06,2026-04-06
97,261,20.17,2026-02-16
98,261,25.04,2026-02-23
99,261,61.76,2026-03-02
100,261,56.9,2026-03-09
101,261,50.35,2026-03-16
102,261,23.62,2026-03-23
103,261,22.38,2026-03-30
104,261,87.3,2026-04-06
105,262,67.75,2026-02-16
106,262,89.43,2026-02-23
107,262,93.56,2026-03-02
108,262,74.14,2026-03-09
109,262,77.19,2026-03-16
110,262,29.74,2026-03-23
111,262,63.82,2026-03-30
112,262,85.43,2026-04-06
113,263,35.15,2026-02-16
114,263,50.7,2026-02-23
115,263,27.44,2026-03-02
116,263,24.94,2026-03-09
117,263,77.96,2026-03-16
118,263,91.82,2026-03-23
119,263,43.15,2026-03-30
120,263,45.55,2026-04-06
121,264,39.52,2026-02-16
122,264,95.47,2026-02-23
123,264,67.17,2026-03-02
124,264,80.41,2026-03-09
125,264,82.89,2026-03-16
126,264,42.11,2026-03-23
127,264,82.64,2026-03-30
128,264,81.31,2026-04-06
129,265,64.03,2026-02-16
130,265,31.06,2026-02-23
131,265,45.19,2026-03-02
132,265,52.69,2026-03-09
133,265,98.6,2026-03-16
134,265,45.31,2026-03-23
135,265,74.1,2026-03-30
136,265,27.81,2026-04-06
137,266,20.29,2026-02-16
138,266,78.67,2026-02-23
139,266,99.57,2026-03-02
140,266,56.56,2026-03-09
141,266,80.13,2026-03-16
142,266,93.28,2026-03-23
143,266,20.28,2026-03-30
144,266,85.39,2026-04-06
145,267,42.32,2026-02-16
146,267,46.35,2026-02-23
147,267,79.38,2026-03-02
148,267,50.34,2026-03-09
149,267,86.73,2026-03-16
150,267,46.51,2026-03-23
151,267,92.24,2026-03-30
152,267,23.69,2026-04-06
153,268,54.63,2026-02-16
154,268,91.75,2026-02-23
155,268,51.19,2026-03-02
156,268,41.49,2026-03-09
157,268,25.91,2026-03-16
158,268,92.4,2026-03-23
159,268,51.44,2026-03-30
160,268,49.68,2026-04-06
161,269,89.4,2026-02-16
162,269,76.72,2026-02-23
163,269,76.33,2026-03-02
164,269,91.34,2026-03-09
165,269,95.41,2026-03-16
166,269,98.94,2026-03-23
167,269,20.13,2026-03-30
168,269,55.76,2026-04-06
169,270,45.91,2026-02-16
170,270,51.91,2026-02-23
171,270,85.44,2026-03-02
172,270,93.3,2026-03-09
173,270,41.51,2026-03-16
174,270,69.49,2026-03-23
175,270,23.36,2026-03-30
176,270,69.21,2026-04-06
177,271,49.38,2026-02-16
178,271,64.94,2026-02-23
179,271,35.57,2026-03-02
180,271,53.58,2026-03-09
181,271,36.18,2026-03-16
182,271,64.32,2026-03-23
183,271,50.23,2026-03-30
184,271,78.05,2026-04-06
185,272,65.17,2026-02-16
186,272,52.42,2026-02-23
187,272,51.07,2026-03-02
188,272,56.73,2026-03-09
189,272,21.23,2026-03-16
190,272,38.73,2026-03-23
191,272,54.68,2026-03-30
192,272,64.43,2026-04-06
193,273,91.82,2026-02-16
194,273,65.26,2026-02-23
195,273,57.8,2026-03-02
196,273,99.6,2026-03-09
197,273,72.83,2026-03-16
198,273,58.82,2026-03-23
199,273,69.15,2026-03-30
200,273,49.13,2026-04-06
201,274,49.68,2026-02-16
202,274,67.31,2026-02-23
203,274,34.45,2026-03-02
204,274,56.28,2026-03-09
205,274,26.2,2026-03-16
206,274,56.36,2026-03-23
207,274,50.16,2026-03-30
208,274,75.46,2026-04-06
209,275,38.94,2026-02-16
210,275,21.78,2026-02-23
211,275,26.96,2026-03-02
212,275,54.53,2026-03-09
213,275,76.12,2026-03-16
214,275,99.06,2026-03-23
215,275,56.36,2026-03-30
216,275,97.07,2026-04-06
217,276,61.76,2026-02-16
218,276,64.73,2026-02-23
219,276,89.81,2026-03-02
220,276,50.41,2026-03-09
221,276,44.22,2026-03-16
222,276,26.29,2026-03-23
223,276,88.38,2026-03-30
224,276,80.88,2026-04-06
225,277,98.43,2026-02-16
226,277,65.73,2026-02-23
227,277,94.76,2026-03-02
228,277,95.26,2026-03-09
229,277,82.72,2026-03-16
230,277,48.9,2026-03-23
231,277,60.84,2026-03-30
232,277,97.72,2026-04-06
233,278,29.42,2026-02-16
234,278,58.93,2026-02-23
235,278,43.26,2026-03-02
236,278,27.22,2026-03-09
237,278,79.84,2026-03-16
238,278,59.06,2026-03-23
239,278,50.81,2026-03-30
240,278,34.79,2026-04-06
241,279,25.97,2026-02-16
242,279,63.34,2026-02-23
243,279,83.78,2026-03-02
244,279,71.6,2026-03-09
245,279,31.57,2026-03-16
246,279,27.35,2026-03-23
247,279,77.02,2026-03-30
248,279,52.23,2026-04-06
249,280,31.02,2026-02-16
250,280,41.3,2026-02-23
251,280,33.02,2026-03-02
252,280,68.25,2026-03-09
253,280,58.2,2026-03-16
254,280,60.98,2026-03-23
255,280,25.96,2026-03-30
256,280,24.27,2026-04-06
257,281,76.57,2026-02-16
258,281,99.66,2026-02-23
259,281,90.71,2026-03-02
260,281,77.68,2026-03-09
261,281,49.32,2026-03-16
262,281,93.3,2026-03-23
263,281,28.42,2026-03-30
264,281,64.28,2026-04-06
265,282,74.48,2026-02-16
266,282,49.83,2026-02-23
267,282,86.68,2026-03-02
268,282,23.63,2026-03-09
269,282,54.81,2026-03-16
270,282,60.46,2026-03-23
271,282,20.23,2026-03-30
272,282,66.24,2026-04-06
273,283,30.11,2026-02-16
274,283,89.57,2026-02-23
275,283,59.76,2026-03-02
276,283,20.0,2026-03-09
277,283,65.96,2026-03-16
278,283,95.05,2026-03-23
279,283,23.98,2026-03-30
280,283,70.57,2026-04-06
281,284,37.56,2026-02-16
282,284,76.33,2026-02-23
283,284,47.37,2026-03-02
284,284,42.01,2026-03-09
285,284,24.23,2026-03-16
286,284,33.73,2026-03-23
287,284,86.18,2026-03-30
288,284,42.28,2026-04-06
289,285,89.16,2026-02-16
290,285,99.35,2026-02-23
291,285,60.25,2026-03-02
